A000;COLERA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A001;COLERA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A009;COLERA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A010;FIEBRES TIFOIDEA Y PARATIFOIDEA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A011;FIEBRES TIFOIDEA Y PARATIFOIDEA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A012;FIEBRES TIFOIDEA Y PARATIFOIDEA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A013;FIEBRES TIFOIDEA Y PARATIFOIDEA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A014;FIEBRES TIFOIDEA Y PARATIFOIDEA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A020;OTRAS INFECCIONES DEBIDAS SALMONELLA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A021;OTRAS INFECCIONES DEBIDAS SALMONELLA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A022;OTRAS INFECCIONES DEBIDAS SALMONELLA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A028;OTRAS INFECCIONES DEBIDAS SALMONELLA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A029;OTRAS INFECCIONES DEBIDAS SALMONELLA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A030;SHIGELOSIS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A031;SHIGELOSIS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A032;SHIGELOSIS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A033;SHIGELOSIS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A038;SHIGELOSIS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A039;SHIGELOSIS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A040;OTRAS INFECCIONES INTESTINALES BACTERIANAS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A041;OTRAS INFECCIONES INTESTINALES BACTERIANAS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A042;OTRAS INFECCIONES INTESTINALES BACTERIANAS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A043;OTRAS INFECCIONES INTESTINALES BACTERIANAS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A044;OTRAS INFECCIONES INTESTINALES BACTERIANAS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A045;OTRAS INFECCIONES INTESTINALES BACTERIANAS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
